time,open,high,low,close
1701306000.0,1.09728,1.09738,1.09722,1.09732
1701306300.0,1.09732,1.09732,1.09714,1.09722
1701306600.0,1.09722,1.0973,1.09719,1.09728
1701306900.0,1.09728,1.0974,1.09724,1.09738
1701307200.0,1.09738,1.09741,1.09726,1.09734
1701307500.0,1.09734,1.09752,1.09732,1.09746
1701307800.0,1.09746,1.09753,1.09731,1.09752
1701308100.0,1.09753,1.09757,1.09747,1.0975
1701308400.0,1.0975,1.09774,1.09746,1.09767
1701308700.0,1.09767,1.09798,1.09767,1.09788
1701309000.0,1.09789,1.09829,1.09789,1.0982
1701309300.0,1.0982,1.09834,1.09813,1.09819
1701309600.0,1.0982,1.0982,1.09787,1.09806
1701309900.0,1.09806,1.09808,1.09788,1.09794
1701310200.0,1.09794,1.09795,1.09782,1.09782
1701310500.0,1.09783,1.09787,1.09755,1.0977
1701310800.0,1.09771,1.09801,1.09769,1.09792
1701311100.0,1.09791,1.09791,1.09748,1.09752
1701311400.0,1.09754,1.09767,1.09718,1.09752
1701311700.0,1.09752,1.09758,1.09722,1.09746
1701312000.0,1.09746,1.09772,1.09742,1.09764
1701312300.0,1.09764,1.09789,1.09757,1.09771
1701312600.0,1.09771,1.09777,1.09706,1.09712
1701312900.0,1.09711,1.09726,1.09678,1.09689
1701313200.0,1.09689,1.097,1.09664,1.09694
1701313500.0,1.09694,1.09711,1.09692,1.09695
1701313800.0,1.09695,1.09716,1.0969,1.09715
1701314100.0,1.09715,1.09721,1.0971,1.09714
1701314400.0,1.09713,1.09738,1.09712,1.09737
1701314700.0,1.09737,1.09745,1.09731,1.09736
1701315000.0,1.09736,1.09747,1.09728,1.09742
1701315300.0,1.09742,1.09761,1.09735,1.09747
1701315600.0,1.09747,1.09752,1.09729,1.09738
1701315900.0,1.09738,1.09773,1.09729,1.09765
1701316200.0,1.09765,1.09772,1.09748,1.09752
1701316500.0,1.09752,1.09762,1.09739,1.0976
1701316800.0,1.0976,1.09766,1.0975,1.09753
1701317100.0,1.09753,1.09753,1.09727,1.09729
1701317400.0,1.09729,1.09746,1.09729,1.09736
1701317700.0,1.09736,1.09738,1.09726,1.09727
1701318000.0,1.09728,1.09738,1.09727,1.09738
1701318300.0,1.09738,1.09744,1.09729,1.09738
1701318600.0,1.09739,1.09746,1.09732,1.09736
1701318900.0,1.09736,1.0975,1.09736,1.09747
1701319200.0,1.09747,1.09754,1.09741,1.09753
1701319500.0,1.09752,1.09754,1.09739,1.09742
1701319800.0,1.09742,1.09747,1.09735,1.09737
1701320100.0,1.09737,1.09744,1.09732,1.09739
1701320400.0,1.09739,1.09743,1.09731,1.09741
1701320700.0,1.09741,1.09754,1.0974,1.09751
1701321000.0,1.09751,1.09752,1.09738,1.09744
1701321300.0,1.09744,1.09746,1.09724,1.09729
1701321600.0,1.09729,1.09738,1.09725,1.0973
1701321900.0,1.0973,1.09733,1.09695,1.09704
1701322200.0,1.097,1.09703,1.09684,1.09694
1701322500.0,1.09694,1.09703,1.09694,1.09701
1701322800.0,1.09701,1.0971,1.0969,1.09692
1701323100.0,1.09692,1.09695,1.0968,1.09685
1701323400.0,1.09683,1.09691,1.09681,1.09691
1701323700.0,1.09691,1.09691,1.09675,1.09682
1701324000.0,1.09682,1.09702,1.09682,1.09693
1701324300.0,1.09693,1.09708,1.09691,1.09704
1701324600.0,1.09704,1.09722,1.09699,1.09718
1701324900.0,1.09718,1.09725,1.09711,1.09714
1701325200.0,1.09714,1.09718,1.09682,1.09682
1701325500.0,1.09683,1.09688,1.09676,1.09686
1701325800.0,1.09686,1.09689,1.09679,1.09682
1701326100.0,1.09681,1.09688,1.0968,1.09685
1701326400.0,1.09685,1.09686,1.09646,1.09646
1701326700.0,1.09646,1.09676,1.09644,1.0966
1701327000.0,1.0966,1.09672,1.0966,1.0967
1701327300.0,1.0967,1.09719,1.09669,1.09718
1701327600.0,1.09718,1.09733,1.09716,1.09732
1701327900.0,1.09732,1.09759,1.09732,1.09745
1701328200.0,1.09745,1.09754,1.0973,1.09754
1701328500.0,1.09754,1.09766,1.09739,1.09745
1701328800.0,1.09744,1.09753,1.0974,1.09745
1701329100.0,1.09745,1.09754,1.09736,1.09751
1701329400.0,1.09751,1.09774,1.09746,1.09765
1701329700.0,1.09765,1.0978,1.09763,1.0978
1701330000.0,1.0978,1.09812,1.09778,1.09797
1701330300.0,1.09797,1.09813,1.09786,1.09797
1701330600.0,1.09797,1.09798,1.09779,1.09781
1701330900.0,1.09781,1.09786,1.09767,1.09781
1701331200.0,1.09781,1.09783,1.09744,1.09756
1701331500.0,1.09756,1.09768,1.09711,1.09714
1701331800.0,1.09715,1.09723,1.09694,1.09717
1701332100.0,1.09717,1.09726,1.09696,1.09713
1701332400.0,1.09714,1.09726,1.09687,1.09697
1701332700.0,1.09697,1.09704,1.09675,1.09675
1701333000.0,1.09675,1.09675,1.09632,1.09636
1701333300.0,1.09636,1.09652,1.09624,1.09626
1701333600.0,1.09625,1.09625,1.09508,1.09513
1701333900.0,1.09513,1.09516,1.09397,1.09475
1701334200.0,1.09476,1.09483,1.09443,1.09475
1701334500.0,1.09474,1.0951,1.09456,1.09509
1701334800.0,1.09509,1.09548,1.09503,1.09532
1701335100.0,1.09532,1.09551,1.0951,1.0953
1701335400.0,1.09528,1.09558,1.09511,1.0955
1701335700.0,1.0955,1.09587,1.09541,1.09551
1701336000.0,1.09551,1.09558,1.09439,1.09449
1701336300.0,1.09449,1.09468,1.09434,1.09458
1701336600.0,1.09458,1.09458,1.09346,1.09351
1701336900.0,1.09351,1.09363,1.09262,1.0927
1701337200.0,1.09269,1.09274,1.09214,1.09241
1701337500.0,1.09241,1.09248,1.09215,1.09221
1701337800.0,1.0922,1.09239,1.09206,1.09214
1701338100.0,1.09214,1.09232,1.09198,1.09227
1701338400.0,1.09227,1.09255,1.09196,1.09204
1701338700.0,1.09208,1.09246,1.09208,1.09239
1701339000.0,1.09239,1.09256,1.09199,1.09255
1701339300.0,1.09254,1.09326,1.09244,1.09297
1701339600.0,1.09295,1.09367,1.09289,1.09329
1701339900.0,1.0933,1.09354,1.09301,1.09331
1701340200.0,1.09331,1.09376,1.09331,1.09341
1701340500.0,1.09341,1.0936,1.09307,1.09307
1701340800.0,1.09307,1.09362,1.09296,1.09361
1701341100.0,1.09361,1.09384,1.0929,1.09305
1701341400.0,1.09306,1.09306,1.09239,1.09254
1701341700.0,1.09254,1.09264,1.09238,1.09243
1701342000.0,1.09239,1.09298,1.09239,1.09243
1701342300.0,1.09243,1.09243,1.09208,1.09212
1701342600.0,1.09212,1.09216,1.09156,1.09191
1701342900.0,1.09191,1.09195,1.09104,1.09112
1701343200.0,1.09112,1.0913,1.09108,1.09121
1701343500.0,1.09123,1.09143,1.09088,1.09138
1701343800.0,1.09136,1.09188,1.0913,1.09173
1701344100.0,1.09173,1.09214,1.09161,1.09207
1701344400.0,1.09207,1.09221,1.09191,1.09202
1701344700.0,1.09202,1.09222,1.09193,1.0921
1701345000.0,1.0921,1.0921,1.09171,1.09182
1701345300.0,1.09181,1.09191,1.09162,1.09176
1701345600.0,1.09177,1.09181,1.0913,1.09177
1701345900.0,1.09177,1.09186,1.09132,1.09135
1701346200.0,1.09135,1.09151,1.09107,1.09142
1701346500.0,1.09138,1.09157,1.09106,1.09112
1701346800.0,1.09112,1.09126,1.09085,1.09095
1701347100.0,1.09095,1.09118,1.09088,1.09115
1701347400.0,1.09116,1.09141,1.09096,1.09138
